Cefeida,RR_Lyrae,BinariaECL,columna X
0004,00573,00565,0
0006,01074,01729,1
0019,01981,01947,2
0034,02264,02079,3
0068,02615,02654,4
0142,02871,02868,5
0174,02889,03282,6
0297,02896,03348,7
0309,03525,03657,8
0318,03968,03678,9
0326,04413,03826,10
0327,04626,03995,11
0493,04779,04188,12
0495,04979,04212,13
0503,05034,04458,14
0549,05188,04640,15
0555,05308,04658,16
0596,06223,05084,17
0635,06786,06013,18
0637,06806,06578,19
0648,07323,06635,20
0656,07759,06708,21
0728,08167,06746,22
0801,08332,06797,23
0813,08398,07487,24
0846,08633,07817,25
0916,09566,07881,26
1056,10038,07927,27
1072,10483,07944,28
1096,10489,09143,29
1172,10624,09432,30
1206,10795,09945,31
1385,11284,11029,32
1501,11497,11071,33
1559,12703,11307,34
1699,13099,11639,35
1745,13510,11655,36
1785,13987,12052,37
1799,14065,12360,38
1948,14486,12376,39
1991,15452,12678,40
2100,15680,13014,41
2117,15818,13085,42
2155,15842,13226,43
2193,16357,14159,44
2217,16623,14200,45
2219,17089,14264,46
2233,17125,14776,47
2240,17736,15477,48
2263,17955,15999,49
2284,18478,16001,50
2295,18726,16014,51
2297,18813,16239,52
2311,18835,17301,53
2493,18839,17857,54
2543,19818,18565,55
2576,20381,19314,56
2638,20567,19644,57
2650,20752,19819,58
2730,21061,19850,59
2743,21074,19988,60
2781,21345,20172,61
2799,21365,20318,62
2823,21878,20507,63
2829,22004,20558,64
2910,23970,21420,65
2936,24089,22820,66
2939,24383,22939,67
2943,24631,23142,68
2952,25075,23472,69
3022,26113,23656,70
3065,26193,24305,71
3251,26652,24469,72
3259,27169,24853,73
3377,28461,24857,74
3400,28468,26555,75
3477,28722,27562,76
3549,29444,27894,77
3554,29660,28617,78
3556,29875,29376,79
3565,30055,30750,80
3579,30144,31494,81
3618,31051,32386,82
3666,31715,32654,83
3682,32376,33227,84
3762,32430,33388,85
3808,34245,33454,86
3856,34604,34342,87
3990,34693,34516,88
4041,34739,34711,89
4074,34760,34998,90
4158,34930,35339,91
4189,35166,36923,92
4232,37054,37246,93
4311,37234,37270,94
4360,38112,37280,95
4412,38397,37308,96
4467,38567,39328,97
4479,38632,39770,98
4526,38746,40051,99
